"Name"
 Joseph Storrs
A  Mackintosh Shaw
A  de Fullner
"A , jun Ramsay"
A A Stewart
A Ambrose
A B Stark
A B Wright
A Bell
A C Brebner
A Crowley
A Dale
A Ellis
A F Forsell
A Fitzjames
A Friend
A G Cross
A H Russell
A Heaviside
A Hodgson
A Ioannides
A J Larking
A J Lorking
A Janson
A L  (pere) Gosse
A L Wigan
A Milne
A P Balkwill
A Reid
A Roberts
A Schumann
A Thistlethwaite
A W Parsons
A Wells
AI
APS
ASL
Abell Smith
Aberdeen Horticultural Society
Abraham Crowley
Abraham Fisher
Abraham Logan
Abraham Sewell
Abram Rawlinson Barclay
Academia Quirurgia of Madrid
Academie Hongroise de Pest
Academy of Anatolia
Academy of Medicine and Surgery of Madrid and Barcelona
Academy of Natural Sciences Philadelphia
Academy of Natural Sciences of Spain
"Academy of Surgery, Madrid"
Acclimatisation Society
Ad Eundem
Adam Storey Farrar
Adolf Bastian
Adolf Ernst
Adolph Bendir
Adolphe Duchart Fauvet
Adrian Balbi
Africa
Agnes Craig
Alan Cornwall Blackstone
Albania
Albemarle Burlington Club
Albert Club
Albert Fytche
Albert Gledstanes
Albert Mitchell
Albert Taylor Bledsoe
Albert Tootal
Aldin Grout
Alex  Nidda Genthe
Alexander (1) Mitchell
Alexander Adolphus Fraser
Alexander Aria
Alexander C Hamilton
Alexander Colvin Fraser
Alexander Cunningham
Alexander Downing
Alexander Duncan
Alexander Ecker
Alexander Fiddes
Alexander Grace
Alexander Gregg
Alexander Guthrie
Alexander Hector
Alexander Henderson
"Alexander Humboldt, Von"
Alexander Isbester
Alexander Macnamee Walker
Alexander McArthur
Alexander Michie
Alexander Milne Dunlop
Alexander Moir
Alexander Morison
Alexander Muirhead Aitken
Alexander Nasmyth
Alexander Norman Tate
Alexander Paspati
Alexander Patrick Stewart
Alexander Robertson
Alexander Robertson (2)
Alexander Walker
Alexis Fedschenko
Alfred Aubert
Alfred Backhouse
Alfred Barton
Alfred Becquet
Alfred Club
Alfred Edmund Harriss
Alfred Gutteres Henriques
Alfred Henry Pechell
Alfred Henry Wilson
Alfred Hewlett
Alfred Higgins
Alfred How
Alfred John Dunkin
Alfred Kitching
Alfred L Fox
Alfred M Sanderson
Alfred Mallalieu
Alfred Maury
Alfred Pulford
Alfred Ransome
Alfred Robert Houghton
Alfred Robert Thompson
Alfred Rosling
Alfred Russel Wallace
Alfred S Rogers
Alfred Sadler
Alfred Sanders
Alfred Smith
Alfred Spencer Churchill
Alfred Tubb Windus
Alfred Vincent Newton
Alfred Wake
Alfred Waterhouse
Alfred Wiltshire
Alfred von Kremer
Algernon Charles Swinburne
Algernon Joy
Algernon Peckover
Algic Society
Alois Auer
Alphonse de Fleuriot de Langle
Alpine Club
America
American Ethnological Society
American Jewish Historical Society
American Medical Association
American Oriental Society
Amos Beardsley
Anastasius Agathides
Anatoly Petrovich Bogdanoff
Anders Retzius
Andrew & Jun Johnston
Andrew Black
Andrew Gilmour
Andrew Johnston
Andrew Lang
Andrew Maclure
Andrew McCallum
Andrew Mercer Adam
Andrew Scott Waugh
Andrew Smith
Andrew Stewart
Andrew Struthers
Andrew Valentine Kirwan
Andrew Wilson
Andrew Wyley
Angelo Manzoni
Ankithum Venkata Nursing Row
Ann Cropper
Ann Crowley
Ann Everett
Ann Gibson
Ann Hopkins Smith
Ann M Hopkins
Ann Snowden
Ann Tweedy
Ann W Christy
Ann Wallis
Anna Gurney
Anthony Dinsdale
Anthony Lax Fisher
Anthony White
Anthropological Institute of New York
Anthropological Society of Berlin
Anthropological Society of Brussels
Anthropological Society of Moscow
Anthropological Society of Paris
Anthropological Society of Washington
Anton Fritsch
Antonio Brady
Antonio Garbiglietti
Antonio Raimondi
"Antonio de La, jun Cerda"
Archibald Campbell
Archibald Hamilton
Archibald Robertson
Argentina
Armenia
Armenius Vambery
Army & Navy Club
Arthur Albright
Arthur B Ewen
Arthur B Harris
Arthur Charles Wriothesley Lennox
Arthur Chilver Tupper
Arthur Constantine Ionides
Arthur Daniel Aulton
Arthur Dashwood
Arthur Edmund Crafter
Arthur Edward Downing
Arthur Edward McCallum
Arthur Giles Puller
Arthur Gordon Gordon
Arthur Hill
Arthur Johnson
Arthur Mitchell
Arthur Paget
Arthur Pease
Arthur Phayre
Arthur Tappan
Arthur Trevelyan
Arthur Turrell
Arthur Vacher
Arthur William A Beckett
Arthur de Zeltner
Arthurs Club
Arts Club
Arundel Club
Ashton Yates
Association Scientifique de Paris
Association for Promoting the General Welfare of the Blind
Association for the Protection of Homeopathic Students and Practitioners
Assyriologist
Athenaeum Club
August Friedrich Marschall von Burgholzhausen
August Hirsch
August Muller
Augustin Weisbach
Augustine Aglio
Augustus D'Este
Augustus E G Perrot
Augustus Goldsmid
Augustus Guest
Augustus H Hunt
Augustus Heinrich Petermann
Augustus Henry Lane Fox later Pitt Rivers
Augustus Jessopp
Augustus S Wilkins
Augustus Wollaston Franks
Austen Henry Layard
Australia
Austria
Austria Hungary
B G Miraglia
B H Paul
B Hewitt
B Slack
Bacup Natural History Society
Balthazar Walter Foster
Barnard Dickinson
Barnet Phillips
Barr Meadows
Bartholomew Bernasconi
Bartholomew Smith
Basil Lovery
Bath Charles Smart
Bath Natural History Society
Bath Royal Literary and Scientific Institution
Bath and County Club
Bayle St John
Bedford Pim
Belgian Academy of Sciences of France
Belgium
Belize
Benbow Backhouse Marson
Benjamin Bond Cabbell
Benjamin Boyd
Benjamin Collins Brodie
Benjamin Hinde
Benjamin Jowett (2)
Benjamin Phillips
Benjamin Robert Winthrop
Benjamin Seebohm
Benjamin Vulliamy
Benjamin Wheeler
Benson Baker
Benson Fryer
Beriah Botfield
Bermuda
Bernard Dorn
Bernard Edward Brodhurst
Bernard Quaritch
Berthold Seemann
Berwickshire Naturalists Field Club
Bev D Hewett
Biblical Archaeological Society
Borneo
Botanical Society of Edinburgh
Botanical Society of London
Brasenose Club
Brasseur de Bourbourg
Brazil
Brian Houghton Hodgson
Brice Smyth
Brinsley Nicholson
Bristol and Gloucester Archaeological Society
British Academy
British Archaeological Association
British Archaeological Society
British Association
British Homeopathic Association
British Homeopathic Society
British Medical Association
